informieren,-1,erfahren,-1,2.625
Innenspiegel,-1,Auto,219,3.125
Internetseite,-1,herunterladen,469496,3.25
italienisch,8767,vergehen,50014,0.0
Jäger,-1,Wald,11036,2.75
Kaffeetasse,110328,parallel,-1,0.0
Kaffeetasse,110328,Tasse,110328,3.75
Kamera,-1,TV-Kamera,-1,3.75
kämpfen,-1,idyllisch,361337,0.125
kämpfen,-1,Veterinär,-1,0.375
Karriere,135888,hinaufklettern,-1,2.0
Karriere,135888,Risiko,-1,1.0
Kind,8654,Familie,149666,3.375
Kompaktvan,-1,Modell,-1,2.5
Kopfairbag,33717,Seitenairbag,33717,3.25
Krankheit,2615,reißen,-1,0.25
Krebserkennung,-1,Röntgenaufnahme,304974,2.0
kühl,-1,hübsch,-1,0.375
Kulturwissenschaft,179771,Grafiker,18125,0.625
lachen,4286116,leben,40602,1.625
lassen,-1,prägen,-1,0.25
laufen,40935,bleiben,-1,1.25
leben,40602,hell,-1,0.125
leben,40602,Tod,5204,3.25
Lebensbedürfnis,-1,ansiedeln,-1,0.375
legen,-1,Tisch,-1,1.125
lernen,10535,gleichzeitig,-1,0.0
Lied,19650,singen,20899,3.375
Linguistik,4714,Wissenschaft,5607,3.5
Luft,2937,Leben,40602,2.75
Lupe,104214,suchen,-1,2.0
lustig,-1,Witz,15064,3.25
machen,-1,anfertigen,-1,3.625
machen,-1,ausüben,-1,2.5
Macht,3222,Reich,-1,2.5
Mai,3271,Januar,2536,2.875
Mann,280427,Geschäftspartner,-1,1.5
männlich,-1,weiblich,-1,3.125
Marktl,-1,Bayern,475,2.25
Mehrarbeit,-1,Workaholic,167000,2.0
Meinung,56730,Überzeugung,-1,3.125
Mercedes,-1,Premium-Hersteller,-1,2.625
Minister,15592,Außenminister,11990,3.375
Minister,15592,Ministerpräsident,8550,3.375
Minister,15592,Politiker,3847,3.25
mitteilen,339326,Nachricht,13759,3.0
moderat,-1,extra,-1,1.25
modern,-1,sportlich,3624819,1.25
momentan,-1,kommend,-1,1.375
Monat,3310,alt,-1,2.25
Montag,3344,November,3578,2.375
Motor,-1,Hubraum,75656,2.75
nachgehen,-1,untersuchen,-1,2.75
Natur,3615,künstlich,-1,2.625
Niedersachse,-1,Landesverband,-1,1.625
niederschmetternd,-1,positiv,-1,1.625
Objekt,-1,Gegenstand,20865,3.875
objektiv,16838,subjektiv,-1,3.125
pädagogisch,24989,weitläufig,-1,0.5
Papst,7908,Kirche,-1,3.375
parallel,-1,linear,-1,1.75
Paß,-1,Reiseschutzpass,-1,2.75
Petersdom,50302,Inaugurationsmesse,-1,2.625
Pinguin,3958,baden,-1,1.5
plätschern,-1,Wasser,5623,2.875
Platz,-1,aufblähen,-1,0.125
Platz,-1,Petersplatz,-1,3.125
Pontifikat,88843,Papst,7908,3.375
Post,54164,Portokost,-1,3.0
Premium-Hersteller,-1,Opel,45108,1.625
Premium-Hersteller,-1,VW,-1,2.0
Problem,21576,Schwierigkeit,-1,3.25
Projekt,3978,Aktion,-1,2.0
Prozentzeichen,67828,Symbol,2676415,3.375
Prüfung,-1,Zeugnis,-1,2.5
Punktverlust,-1,Platz,-1,1.125
Ratzinger,-1,Papst,7908,3.375
Relevanz,4862202,relevant,4862202,3.875
riesig,-1,üppig,-1,2.625
rot-weiß,-1,weißblau,-1,2.75
sachlich,-1,Seriosität,5498702,2.125
sagen,-1,erklären,1087517,2.125
sagen,-1,mitteilen,339326,3.125
Sandwich-Konzept,-1,Sicherheit,58985,0.5
schauen,-1,sehen,286637,3.75
Schleusung,-1,Betrugshandlung,-1,2.125
schließen,-1,Überlegung,-1,0.875
Schrank,154502,Küchenschrank,-1,3.375
Schwabe,-1,sparen,427213,2.75
Schwabe,988174,Stuttgarter,4492,3.375
Seitenansicht,-1,A-Säule,242990,0.875
Selbstinszenierung,4320778,Beziehungsarbeit,159632,0.5
serienmäßig,421377,extra,-1,2.125
Sicherheit,58985,Frontalkollision,-1,1.625
Sicherheit,58985,klobig,-1,0.25
Sohn,-1,aussteigen,-1,0.0
Sohn,8672,Vater,8666,3.375
Spitz,-1,allein,-1,1.125
Spitz,-1,hoch,-1,2.25
sportlich,3624819,Interior,-1,0.0
sportlich,3624819,teuer,-1,0.375
stark,-1,Gehaltsunterschied,-1,0.125
stark,-1,Kämpfer,150172,1.875
Steckdose,227781,komplex,59658,0.125
Steckdose,227781,Stern,-1,0.125
Stellenangebot,219416,sehen,286637,0.375
Stellenangebot,219416,Wochenzeitung,133905,2.25
Stellenanzeige,219416,Bewerbungsgespräch,362070,2.25
Stellenanzeige,219416,rasch,-1,0.5
Stoiber,-1,drehfreudig,-1,0.25
Stoiber,-1,Ministerpräsident,8550,3.125
Studie,111485,Dissertationsthema,16983,1.875
Studie,111485,Ergebnis,235753,2.75
Studierende,29138,Abteilung,-1,1.625
Studierende,29138,Note,-1,2.375
Studium,16626,arbeiten,382049,2.625
Studium,16626,Beruf,462,3.0
Studium,16626,deutsch,-1,0.25
Studium,16626,Europa,10108,0.5
Studium,16626,Gegenstand,-1,0.875
deutsch,1382499,deutsch,1382499,3.875
Studium,16626,studieren,16626,4.0
suchen,295046,Bundesbürger,558792,0.0
suchen,295046,finden,-1,3.0
Suchmaschinenbetreiber,-1,Eleganz,544105,0.25
Suchmaschinenbetreiber,-1,Linkstatistik,-1,1.75
Suchstrategie,295046,Optik,3748,0.25
Suchstrategie,295046,suchen,295046,3.5
summieren,14523,selbstbewußt,-1,0.125
summieren,14523,teuer,-1,0.875
Tag,5053,demütig,170855,0.25
Tag,5053,Donnerstag,1141,3.375
Tag,5053,Leben,40602,1.5
Tag,5053,Schreibtisch,215674,0.0
Tag,5053,sichtbar,-1,0.625
Tag,5053,Stunde,4557,2.75
Tastatur,5220,Gott,1850,0.0
Tastatur,5220,Suche,-1,0.625
Tätigkeit,99893,Arbeit,462,3.0
Tätigkeit,99893,visuell,286637,0.125
teuer,-1,kostspielig,-1,3.875
teuer,-1,Symbol,2676415,0.25
Tier,2781517,Natur,3615,2.625
Tier,2781517,Röntgenaufnahme,304974,0.25
Tierpark,57749,Giraffe,57662,3.0
Tierpark,57749,Grafik,11421,0.5
Tod,5204,ähneln,-1,0.0
Tod,5204,Beerdigung,71543,3.25
Topmanagement,-1,Job,33605,2.5
Topmanagement,-1,Unternehmen,5319,2.75
Traurigkeit,1186161,bekommen,-1,0.125
Traurigkeit,1186161,Heimgang,-1,1.125
überzeugen,-1,Mitschuld,4828,0.5
überzeugen,-1,zeigen,-1,1.5
Überzeugung,-1,übertreiben,-1,0.625
Überzeugung,-1,Zweifel,83933,2.625
Umfrage,191530,Erfolg,87624,0.125
Umfrage,191530,Quartalsumfrage,-1,2.875
umklappen,-1,Berlin-Kreuzberg,2813,0.0
umklappen,-1,flachlegen,-1,1.625
Unternehmen,5319,Dieselversion,18540,0.0
Unternehmen,5319,Firma,24040,3.625
untersuchen,577545,Benedikt,146649,0.0
untersuchen,577545,suchen,295046,2.5
Untersuchungsausschuß,-1,aussagen,71818,1.875
Untersuchungsausschuß,-1,umfassen,-1,0.375
van,241545,Sports-Tourer,-1,2.375
van,-1,Vorschrift,3619,0.25
Vatikan,2422312,ausgehen,-1,0.125
Vatikan,2422312,Katholik,4461846,3.25
veranstalten,-1,betreuen,-1,1.375
veranstalten,-1,dauern,-1,0.75
verantwortlich,87633,Amt,12245,2.25
verantwortlich,87633,zuständig,1016183,3.625
vergehen,50014,damalig,-1,3.25
vergehen,50014,weißblau,-1,0.0
Vergangenheit,23856,alt,-1,2.0
Vergangenheit,23856,Deutschland,1497705,1.0
verhindern,-1,bayerisch,475,0.0
verhindert,-1,Beihilfe,910287,0.75
verkaufen,37630,bezahlen,-1,2.5
verkaufen,37630,fahren,134035,0.125
Vernehmung,271708,bedrohen,262907,0.75
Vernehmung,271708,vernommen,271708,3.625
versäumen,-1,sagen,-1,0.125
versäumen,-1,überprüfen,-1,0.125
verschicken,-1,Post,54164,3.0
verschicken,-1,Rede,46757,0.25
versichern,1533015,Auftritt,1233464,0.125
versichern,-1,bedauern,-1,0.5
viel,-1,groß,-1,2.0
viel,-1,schreiben,4727,0.375
Volierenzelt,-1,Erfolg,87624,0.0
Volierenzelt,-1,Käfig,483700,2.375
vorankommen,-1,Entwicklung,38124,2.5
vorankommen,-1,Grundpreis,2537043,0.25
weit,-1,Bewerbung,2560037,0.0
weit,-1,erklären,1087517,0.25
weit,-1,nahe,-1,3.125
weit,-1,wegrennen,-1,1.5
Welle,113040,Schaden,96440,1.0
Welle,296463,Surfer,129898,3.125
Widerspruch,401927,Analyse,37761,1.125
Widerspruch,401927,Gebiet,94960,0.0
Wien,5632,deutschsprachig,1382499,3.0
Wien,5632,Kopfairbag,33717,0.0
Wirtschaftsprofessor,250477,Irrtum,123144,0.375
Wirtschaftsprofessor,250477,Professor,33943,3.625
Wirtschaftsuniversität,629693,Abteilung,171549,1.75
Wirtschaftsuniversität,629693,historisch,1837,0.625
Witz,15064,Gepäckkontrolle,-1,0.25
Witz,15064,Joke,15064,4.0
Witz,15064,Kopf,1985832,1.125
Witz,15064,Makake,420332,0.125
Zebra,82632,Stellenanzeige,219416,0.0
Zebra,82632,Tier,2781517,3.25
Zielstrebigkeit,-1,ablehnen,-1,0.25
Zielstrebigkeit,-1,Erfolg,87624,2.625
